TimeFrame,Voltage,Current,Time(s)
5:29:02 PM,26.470000,0.000100,0.2
5:29:02 PM,57.960000,0.274100,0.5
5:29:02 PM,57.984000,0.270800,0.8
5:29:03 PM,57.985000,0.270700,1.1
5:29:03 PM,57.988000,0.270500,1.4
5:29:03 PM,57.989000,0.270000,1.7
5:29:04 PM,57.991000,0.269800,2.0
5:29:04 PM,57.994000,0.269600,2.3
5:29:04 PM,57.996000,0.269200,2.6
5:29:04 PM,57.996000,0.269100,2.9
5:29:05 PM,57.998000,0.269200,3.2
5:29:05 PM,57.998000,0.269200,3.5
5:29:05 PM,57.998000,0.269300,3.8
5:29:06 PM,57.999000,0.269400,4.1
5:29:06 PM,57.999000,0.269500,4.4
5:29:06 PM,57.999000,0.269600,4.7
5:29:07 PM,57.999000,0.269700,5.0
5:29:07 PM,57.999000,0.269900,5.3
5:29:07 PM,57.999000,0.270000,5.6
5:29:07 PM,57.999000,0.270100,5.9
5:29:08 PM,57.999000,0.270200,6.2
5:29:08 PM,57.999000,0.270300,6.5
5:29:08 PM,57.999000,0.270400,6.8
5:29:09 PM,57.999000,0.270400,7.1
5:29:09 PM,57.999000,0.270600,7.4
5:29:09 PM,57.999000,0.270700,7.7
5:29:10 PM,58.000000,0.270800,8.0
5:29:10 PM,57.999000,0.271000,8.3
5:29:10 PM,58.000000,0.271100,8.6
5:29:10 PM,58.000000,0.271200,8.9
5:29:11 PM,57.999000,0.271200,9.2
5:29:11 PM,57.999000,0.271300,9.5
5:29:11 PM,57.999000,0.271400,9.8
5:29:12 PM,58.000000,0.271500,10.1
5:29:12 PM,58.000000,0.271500,10.4
5:29:12 PM,58.000000,0.271600,10.7
5:29:13 PM,58.000000,0.271700,11.0
5:29:13 PM,58.000000,0.271800,11.3
5:29:13 PM,58.000000,0.271800,11.6
5:29:13 PM,58.000000,0.272000,11.9
5:29:14 PM,58.000000,0.272000,12.2
5:29:14 PM,58.000000,0.272100,12.5
5:29:14 PM,58.000000,0.272100,12.8
5:29:15 PM,58.000000,0.272200,13.1
5:29:15 PM,58.000000,0.272300,13.4
5:29:15 PM,58.000000,0.272300,13.7
5:29:16 PM,58.000000,0.272500,14.0
5:29:16 PM,58.000000,0.272500,14.3
5:29:16 PM,58.000000,0.272600,14.6
5:29:16 PM,58.000000,0.272700,14.9
5:29:17 PM,58.000000,0.272700,15.2
5:29:17 PM,58.000000,0.272800,15.5
5:29:17 PM,58.000000,0.272900,15.8
5:29:18 PM,58.000000,0.272900,16.1
5:29:18 PM,58.000000,0.272900,16.4
5:29:18 PM,58.000000,0.273000,16.7
5:29:19 PM,58.000000,0.273100,17.0
5:29:19 PM,58.000000,0.273100,17.3
5:29:19 PM,58.001000,0.273200,17.6
5:29:19 PM,58.000000,0.273200,17.9
5:29:20 PM,58.000000,0.273300,18.2
5:29:20 PM,58.000000,0.273300,18.5
5:29:20 PM,58.000000,0.273400,18.8
5:29:21 PM,58.000000,0.273400,19.1
5:29:21 PM,58.000000,0.273500,19.4
5:29:21 PM,58.000000,0.273600,19.7
5:29:22 PM,58.000000,0.273600,20.0
5:29:22 PM,58.001000,0.273700,20.3
5:29:22 PM,58.001000,0.273800,20.6
5:29:22 PM,58.001000,0.273800,20.9
5:29:23 PM,58.001000,0.273900,21.2
5:29:23 PM,58.001000,0.274000,21.5
5:29:23 PM,58.001000,0.274000,21.8
5:29:24 PM,58.001000,0.274000,22.1
5:29:24 PM,58.001000,0.274100,22.4
5:29:24 PM,58.001000,0.274100,22.7
5:29:25 PM,58.000000,0.274200,23.0
5:29:25 PM,58.000000,0.274200,23.3
5:29:25 PM,58.000000,0.274300,23.6
5:29:25 PM,58.000000,0.274300,23.9
5:29:26 PM,58.000000,0.274300,24.2
5:29:26 PM,58.000000,0.274400,24.5
5:29:26 PM,58.000000,0.274400,24.8
5:29:27 PM,58.000000,0.274400,25.1
5:29:27 PM,58.000000,0.274500,25.4
5:29:27 PM,58.000000,0.274500,25.7
5:29:28 PM,58.001000,0.274600,26.0
5:29:28 PM,58.000000,0.274600,26.3
5:29:28 PM,58.001000,0.274700,26.6
5:29:28 PM,58.000000,0.274700,26.9
5:29:29 PM,58.000000,0.274800,27.2
5:29:29 PM,58.000000,0.274800,27.5
5:29:29 PM,58.000000,0.274900,27.8
5:29:30 PM,58.000000,0.275000,28.1
5:29:30 PM,58.000000,0.275000,28.4
5:29:30 PM,58.000000,0.275100,28.7
5:29:31 PM,58.001000,0.275100,29.0
5:29:31 PM,58.001000,0.275200,29.3
5:29:31 PM,58.001000,0.275300,29.6
5:29:31 PM,58.001000,0.275400,29.9
5:29:32 PM,58.001000,0.275500,30.2
5:29:32 PM,58.001000,0.275600,30.5
5:29:32 PM,58.001000,0.275700,30.8
5:29:33 PM,58.001000,0.275800,31.1
5:29:33 PM,58.001000,0.275900,31.4
5:29:33 PM,58.000000,0.275900,31.7
5:29:34 PM,58.000000,0.276100,32.0
5:29:34 PM,58.000000,0.276100,32.3
5:29:34 PM,58.000000,0.276200,32.6
5:29:34 PM,58.000000,0.276200,32.9
5:29:35 PM,58.000000,0.276200,33.2
5:29:35 PM,58.000000,0.276300,33.5
5:29:35 PM,58.001000,0.276300,33.8
5:29:36 PM,58.000000,0.276300,34.1
5:29:36 PM,58.001000,0.276400,34.4
5:29:36 PM,58.001000,0.276400,34.7
5:29:37 PM,58.001000,0.276500,35.0
5:29:37 PM,58.000000,0.276500,35.3
5:29:37 PM,58.001000,0.276500,35.6
5:29:37 PM,58.001000,0.276600,35.9
5:29:38 PM,58.001000,0.276600,36.2
5:29:38 PM,58.001000,0.276600,36.5
5:29:38 PM,58.001000,0.276700,36.8
5:29:39 PM,58.001000,0.276700,37.1
5:29:39 PM,58.001000,0.276800,37.4
5:29:39 PM,58.001000,0.276800,37.7
5:29:40 PM,58.001000,0.276800,38.0
5:29:40 PM,58.001000,0.276900,38.3
5:29:40 PM,58.001000,0.276900,38.6
5:29:40 PM,58.001000,0.276900,38.9
5:29:41 PM,58.001000,0.276900,39.2
5:29:41 PM,58.001000,0.277000,39.5
5:29:41 PM,58.001000,0.277000,39.8
5:29:42 PM,58.001000,0.277100,40.1
5:29:42 PM,58.001000,0.277100,40.4
5:29:42 PM,58.001000,0.277100,40.7
5:29:43 PM,58.001000,0.277200,41.0
5:29:43 PM,58.001000,0.277200,41.3
5:29:43 PM,58.001000,0.277300,41.6
5:29:43 PM,58.001000,0.277300,41.9
5:29:44 PM,58.001000,0.277400,42.2
5:29:44 PM,58.001000,0.277400,42.5
5:29:44 PM,58.001000,0.277500,42.8
5:29:45 PM,58.001000,0.277500,43.1
5:29:45 PM,58.001000,0.277500,43.4
5:29:45 PM,58.001000,0.277600,43.7
5:29:46 PM,58.001000,0.277600,44.0
5:29:46 PM,58.001000,0.277700,44.3
5:29:46 PM,58.001000,0.277700,44.6
5:29:46 PM,58.001000,0.277700,44.9
5:29:47 PM,58.001000,0.277800,45.2
5:29:47 PM,58.001000,0.277800,45.5
5:29:47 PM,58.001000,0.277800,45.8
5:29:48 PM,58.001000,0.277900,46.1
5:29:48 PM,58.001000,0.277900,46.4
5:29:48 PM,58.001000,0.277900,46.7
5:29:49 PM,58.001000,0.277900,47.0
5:29:49 PM,58.001000,0.278000,47.3
5:29:49 PM,58.001000,0.278000,47.6
5:29:49 PM,58.001000,0.278100,47.9
5:29:50 PM,58.001000,0.278100,48.2
5:29:50 PM,58.001000,0.278100,48.5
5:29:50 PM,58.001000,0.278100,48.8
5:29:51 PM,58.001000,0.278200,49.1
5:29:51 PM,58.001000,0.278200,49.4
5:29:51 PM,58.000000,0.278300,49.7
5:29:52 PM,58.001000,0.278300,50.0
5:29:52 PM,58.001000,0.278300,50.3
5:29:52 PM,58.001000,0.278300,50.6
5:29:52 PM,58.001000,0.278400,50.9
5:29:53 PM,58.001000,0.278400,51.2
5:29:53 PM,58.000000,0.278400,51.5
5:29:53 PM,58.001000,0.278400,51.8
5:29:54 PM,58.000000,0.278500,52.1
5:29:54 PM,58.000000,0.278500,52.4
5:29:54 PM,58.000000,0.278500,52.7
5:29:55 PM,58.000000,0.278600,53.0
5:29:55 PM,58.000000,0.278600,53.3
5:29:55 PM,58.000000,0.278700,53.6
5:29:55 PM,58.001000,0.278700,53.9
5:29:56 PM,58.001000,0.278800,54.2
5:29:56 PM,58.001000,0.278800,54.5
5:29:56 PM,58.001000,0.278900,54.8
5:29:57 PM,58.001000,0.278900,55.1
5:29:57 PM,58.001000,0.279000,55.4
5:29:57 PM,58.001000,0.279000,55.7
5:29:58 PM,58.001000,0.279000,56.0
5:29:58 PM,58.001000,0.279000,56.3
5:29:58 PM,58.000000,0.279000,56.6
5:29:58 PM,58.001000,0.279000,56.9
5:29:59 PM,58.000000,0.279000,57.2
5:29:59 PM,58.000000,0.279100,57.5
5:29:59 PM,58.000000,0.279100,57.8
5:30:00 PM,58.000000,0.279100,58.1
5:30:00 PM,58.001000,0.279200,58.4
5:30:00 PM,58.001000,0.279200,58.7
5:30:01 PM,58.001000,0.279200,59.0
5:30:01 PM,58.001000,0.279200,59.3
5:30:01 PM,58.001000,0.279300,59.6
5:30:01 PM,58.001000,0.279300,59.9
5:30:02 PM,58.001000,0.279300,60.2
5:30:02 PM,58.001000,0.279300,60.5
5:30:02 PM,58.001000,0.279300,60.8
5:30:03 PM,58.001000,0.279300,61.1
5:30:03 PM,58.001000,0.279400,61.4
5:30:03 PM,58.001000,0.279400,61.7
5:30:04 PM,58.001000,0.279400,62.0
5:30:04 PM,58.001000,0.279500,62.3
5:30:04 PM,58.001000,0.279500,62.6
5:30:04 PM,58.001000,0.279600,62.9
5:30:05 PM,58.001000,0.279600,63.2
5:30:05 PM,58.000000,0.279600,63.5
5:30:05 PM,58.000000,0.279600,63.8
5:30:06 PM,58.001000,0.279600,64.1
5:30:06 PM,58.001000,0.279700,64.4
5:30:06 PM,58.001000,0.279700,64.7
5:30:07 PM,58.001000,0.279700,65.0
5:30:07 PM,58.001000,0.279700,65.3
5:30:07 PM,58.001000,0.279800,65.6
5:30:07 PM,58.001000,0.279800,65.9
5:30:08 PM,58.000000,0.279800,66.2
5:30:08 PM,58.000000,0.279800,66.5
5:30:08 PM,58.000000,0.279800,66.8
5:30:09 PM,58.001000,0.279900,67.1
5:30:09 PM,58.001000,0.279900,67.4
5:30:09 PM,58.001000,0.279900,67.7
5:30:10 PM,58.001000,0.280000,68.0
5:30:10 PM,58.001000,0.280000,68.3
5:30:10 PM,58.001000,0.280000,68.6
5:30:10 PM,58.000000,0.280000,68.9
5:30:11 PM,58.001000,0.280100,69.2
5:30:11 PM,58.001000,0.280000,69.5
5:30:11 PM,58.001000,0.280100,69.8
5:30:12 PM,58.001000,0.280200,70.1
5:30:12 PM,58.001000,0.280200,70.4
5:30:12 PM,58.000000,0.280200,70.7
5:30:13 PM,58.000000,0.280300,71.0
5:30:13 PM,58.000000,0.280300,71.3
