TimeFrame,Voltage,Current,Time(s)
5:31:46 PM,0.000000,0.000100,0.2
5:31:46 PM,0.000000,0.000100,0.6
5:31:47 PM,0.000000,0.000100,1.0
5:31:47 PM,0.000000,0.000100,1.4
5:31:48 PM,0.000000,0.000100,1.8
5:31:48 PM,0.000000,0.000100,2.2
5:31:48 PM,0.000000,0.000100,2.6
5:31:49 PM,0.000000,0.000100,3.0
5:31:49 PM,0.000000,0.000100,3.4
5:31:50 PM,0.000000,0.000100,3.8
5:31:50 PM,0.000000,0.000100,4.2
5:31:50 PM,0.000000,0.000100,4.6
5:31:51 PM,0.000000,0.000100,5.0
5:31:51 PM,0.000000,0.000000,5.4
5:31:52 PM,0.000000,0.000000,5.8
5:31:52 PM,0.000000,0.000000,6.2
5:31:52 PM,0.000000,0.000000,6.6
5:31:53 PM,0.000000,0.000100,7.0
5:31:53 PM,0.000000,0.000100,7.4
5:31:54 PM,0.000000,0.000100,7.8
5:31:54 PM,0.000000,0.000100,8.2
5:31:54 PM,0.000000,0.000100,8.6
5:31:55 PM,0.000000,0.000100,9.0
5:31:55 PM,0.000000,0.000100,9.4
5:31:56 PM,0.000000,0.000100,9.8
5:31:56 PM,0.000000,0.000100,10.2
5:31:56 PM,0.000000,0.000000,10.6
