TimeFrame,Voltage,Current,Time(s)
5:44:05 PM,53.992000,0.271100,2.1
5:44:05 PM,53.995000,0.271100,2.4
5:44:05 PM,53.996000,0.271000,2.7
5:44:05 PM,53.997000,0.271000,3.0
5:44:06 PM,53.998000,0.271000,3.3
5:44:06 PM,53.998000,0.271000,3.6
5:44:06 PM,53.998000,0.271100,3.9
5:44:07 PM,53.998000,0.271100,4.2
5:44:07 PM,53.999000,0.271200,4.5
5:44:07 PM,53.999000,0.271300,4.8
5:44:08 PM,53.999000,0.271400,5.1
5:44:08 PM,53.999000,0.271500,5.4
5:44:08 PM,53.999000,0.271600,5.7
5:44:08 PM,53.999000,0.271700,6.0
5:44:09 PM,53.999000,0.271700,6.3
5:44:09 PM,53.999000,0.271900,6.6
5:44:09 PM,53.999000,0.272000,6.9
5:44:10 PM,53.999000,0.272100,7.2
5:44:10 PM,53.999000,0.272200,7.5
5:44:10 PM,53.999000,0.272400,7.8
5:44:11 PM,53.999000,0.272500,8.1
5:44:11 PM,53.999000,0.272600,8.4
